PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA152238055	Craniofrontonasal Syndrome	Craniofrontonasal dysplasia		MeSH:C536456(Craniofrontonasal dysplasia), MONDO:MONDO:0010570(craniofrontonasal syndrome)
PA166184864	Craving	Cravings		MeSH:D066249(Craving)
PA444647	Creutzfeldt-Jakob Syndrome	"""CJD"", ""CJD (Creutzfeldt Jakob Disease)"", ""CJD (Creutzfeldt-Jakob Disease)"", ""CJD - Creutzfeldt-Jakob disease"", ""CJD Variant (V CJD)"", ""CJD Variant (V-CJD)"", ""CJD Variants (V-CJD)"", ""CJDs (Creutzfeldt-Jakob Disease)"", ""Creutzfeldt Jakob Disease"", ""Creutzfeldt Jakob Disease, Familial"", ""Creutzfeldt Jakob Disease, New Variant"", ""Creutzfeldt Jakob Syndrome"", ""Creutzfeldt-Jakob Disease"", ""Creutzfeldt-Jakob Disease, Familial"", ""Creutzfeldt-Jakob Disease, New Variant"", ""Creutzfeldt-Jakob Diseases, Familial"", ""Creutzfeldt-Jakob disease"", ""Disease, Creutzfeldt-Jakob"", ""Disease, Familial Creutzfeldt-Jakob"", ""Disease, Jakob-Creutzfeldt"", ""Encephalopathies, Subacute Spongiform"", ""Encephalopathy, Subacute Spongiform"", ""Familial Creutzfeldt Jakob Disease"", ""Familial Creutzfeldt-Jakob Disease"", ""Familial Creutzfeldt-Jakob Diseases"", ""Jakob Creutzfeldt Disease"", ""Jakob Creutzfeldt Syndrome"", ""Jakob-Creutzfeldt Disease"", ""Jakob-Creutzfeldt Syndrome"", ""New Variant Creutzfeldt Jakob Disease"", ""New Variant Creutzfeldt-Jakob Disease"", ""Spongiform Encephalopathies, Subacute"", ""Spongiform Encephalopathy, Subacute"", ""Subacute Spongiform Encephalopathies"", ""Subacute Spongiform Encephalopathy"", ""Subacute spongiform encephalopathy"", ""Syndrome, Creutzfeldt-Jakob"", ""Syndrome, Jakob-Creutzfeldt"", ""V-CJD (Variant-Creutzfeldt-Jakob Disease)"", ""Variant, CJD (V-CJD)"", ""Variants, CJD (V-CJD)"""		MeSH:D007562(Creutzfeldt-Jakob Syndrome), SnoMedCT:792004(Jakob-Creutzfeldt disease), UMLS:C0022336(C0022336), MedDRA:10009216(CJ disease), NDFRT:N0000001713(Creutzfeldt-Jakob Syndrome [Disease/Finding]), MONDO:MONDO:0005357(Creutzfeldt Jacob disease)
PA443813	Crigler-Najjar Syndrome	"""Bilirubin glucuronosyltransferase deficiency"", ""Crigler Najar Syndrome"", ""Crigler Najjar Syndrome"", ""Crigler-Najar Syndrome"", ""Crigler-Najjar syndrome"", ""Crigler-Najjar syndrome type I"", ""Crigler-Najjar syndrome, NOS"", ""Crigler-Najjar syndrome, type I"", ""Crigler-Najjar type 1"", ""Deficiency of glucuronosyltransferase"", ""Glucuronyltransferase deficiency"", ""Syndrome, Crigler-Najar"", ""Syndrome, Crigler-Najjar"", ""UDP glucuronyl transferase deficiency"""		"""MeSH:D003414(Crigler-Najjar Syndrome)"", ""SnoMedCT:28259009(Crigler-Najjar syndrome)"", ""SnoMedCT:8933000(Crigler-Najjar syndrome, type I)"", ""UMLS:C0010324(C0010324)"", ""MedDRA:10011386(Crigler-Najjar syndrome)"", ""NDFRT:N0000000873(Crigler-Najjar Syndrome [Disease/Finding])"", ""MONDO:MONDO:0009044(Crigler-Najjar syndrome)"""
PA152238067	Crisponi Syndrome	Cold-induced sweating syndrome 1		MeSH:C536214(Crisponi syndrome), MONDO:MONDO:0010091(Cold-induced sweating syndrome 1)
PA443815	Crohn Disease	"""Colitis, Granulomatous"", ""Crohn's Disease"", ""Crohns Disease"", ""Enteritis, Granulomatous"", ""Enteritis, Regional"", ""Ileitis, Regional"", ""Ileitis, Terminal"", ""Ileocolitis"""		MeSH:D003424(Crohn Disease), SnoMedCT:34000006(Crohn's disease), UMLS:C0010346(C0010346), MedDRA:10011398(Crohn's), NDFRT:N0000000875(Crohn Disease [Disease/Finding]), MONDO:MONDO:0005011(Crohn disease)
PA166159389	Cryoglobulinemia	Cryoglobulinemias		MeSH:D003449(Cryoglobulinemia), SnoMedCT:30911005(cryoglobulinemia), MedDRA:10011475(cryoglobulinemia), MONDO:MONDO:0005576(cryoglobulinemia), HP:HP:0100778(Cryoglobulinemia)
PA165108392	Cryptococcal meningitis	Meningitis due to cryptococcus		"""MeSH:D016919(Meningitis, Cryptococcal)"", ""SnoMedCT:14232007(Cryptococcal meningitis)"", ""UMLS:C0085436(C0085436)"", ""MedDRA:10011487(Cryptococcal meningitis)"", ""NDFRT:N0000003511(Meningitis, Cryptococcal [Disease/Finding])"", ""MONDO:MONDO:0005723(Cryptococcal meningitis)"", ""HP:HP:0032160(Cryptococcal meningitis)"""
PA443820	Cryptococcosis	"""Busse-Buschke disease"", ""Busse-Buschke's disease"", ""Cryptococcoses"", ""Cryptococcosis NOS"", ""Cryptococcosis, NOS"", ""European Blastomycosis"", ""European blastomycosis"", ""European cryptococcosis"", ""Infection by Cryptococcus neoformans"", ""Torula"", ""Toruloses"", ""Torulosis"""		MeSH:D003453(Cryptococcosis), SnoMedCT:187097008(Cryptococcosis NOS), SnoMedCT:42386007(Cryptococcosis), UMLS:C0010414(C0010414), MedDRA:10006837(C.neoformans infection), NDFRT:N0000000880(Cryptococcosis [Disease/Finding]), MONDO:MONDO:0005724(cryptococcosis)
PA443821	Cryptorchidism	"""Cryptorchidism NOS"", ""Cryptorchism"", ""Imperfectly descended testis"", ""Maldescent of testis"", ""Testes, Undescended"", ""Testis, Undescended"", ""UDT - Undescended testes"", ""Undescended Testes"", ""Undescended Testis"", ""Undescended testicle"", ""Undescended testicle NOS"", ""Undescended testis"""		MeSH:D003456(Cryptorchidism), SnoMedCT:127907005(Undescended testis), SnoMedCT:204878001(Undescended testicle), SnoMedCT:204882004(Cryptorchidism NOS), SnoMedCT:268226005(Undescended testicle NOS), UMLS:C0010417(C0010417), MedDRA:10056600(Cryptorchidism), NDFRT:N0000000881(Cryptorchidism [Disease/Finding]), MONDO:MONDO:0009047(cryptorchidism), HP:HP:0000028(Cryptorchidism)
